name,tokenId
aa-aa,77479412770576477631607989853357815002968911679569554757386932972393681060221
ae-ae,1135446440218307945981122616857338235388084702974902822394081319563234896386
ai-ai,114434022739801931569670641261335235378199558538811308617626926506580839835869
ao-ao,20710303757245066631471892791233322063140362465503771807875342632082156223431
au-au,32696339809403698385068441389120945354502112485453463466141096028984943901142
ea-ea,52151137266208424792669103543507693136290598826692152441398158769106660086507
ee-ee,40271028422754451629837682119871494642239910557175077659912472828071403035357
ei-ei,4186861395832377457109846704181472409020556433010578488639589078905322642199
eo-eo,33087957436151133220451526765557551168992744052603487889644222322101507835627
eu-eu,82698119774838916270582342508984403703223191069232615066916845972553758121038
ia-ia,16064037210645910191797171333570892531745017092551285537258894462908712629055
ie-ie,70625334584726626366579364915925536901085707315406932978848710983620881991659
ii-ii,65030977536396295326924460054685576202706460871746020154955403762145078718852
io-io,58508640113886322469113244072481547115288064200773864505502895156259704092251
iu-iu,88799669763509776246765150095240402583284788905789827443816681254471679576867
oa-oa,13389303767522879423802660027025149801313654710023243828670298241637280258664
oe-oe,70770070736675540145283883527251961625200616739050017404022846931705289485181
oi-oi,573845088643192089733358236765317169244187859150237489213966858438948017078
oo-oo,72268327182271543246070448819216738083254725819954588201748117549119902215529
ou-ou,23451416126198473239117933906991988646995377630005529128578622627314376495747
ua-ua,1476518140336566187362864799283904163005269421646121920749546872675737859239
ue-ue,40999889986289529969225407903457599721829645506594260533042592907643140741189
ui-ui,77473590376839975383718782692361760202321870768511999369972161697538767072804
uo-uo,99731210205766363680885108987866855158654356165150782306372199695035034688289
uu-uu,6691810947822111112394611639711395457993325368843871625542395188097530982655
